City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,georgetown,20,GY,1554292800,74,6.8,-58.16,82.4,11.41
1,husavik,80,CA,1554294626,84,50.56,-96.99,21.0,5.01
2,iqaluit,90,CA,1554294122,77,63.75,-68.52,-2.01,4.7
3,rikitea,92,PF,1554294677,100,-23.12,-134.97,74.39,21.18
4,basco,1,US,1554294661,86,40.33,-91.2,37.4,3.36
5,pandan,0,PH,1554294677,93,11.72,122.09,82.13,14.03
6,ko samui,20,TH,1554292800,70,9.54,99.94,86.0,11.41
7,karratha,0,AU,1554294657,41,-20.74,116.85,85.91,8.99
8,ushuaia,75,AR,1554292800,65,-54.81,-68.31,41.0,12.75
9,avarua,48,CK,1554292800,78,-21.21,-159.78,77.0,5.82
10,jamestown,24,AU,1554294679,55,-33.21,138.6,63.5,7.87
11,vestmannaeyjar,40,IS,1554292800,75,63.44,-20.27,41.0,29.97
12,gushikawa,90,JP,1554294147,77,26.35,127.87,64.4,8.05
13,mount gambier,90,AU,1554289200,82,-37.83,140.78,55.4,10.29
14,bredasdorp,20,ZA,1554294604,53,-34.53,20.04,77.0,8.05
15,vanavara,80,RU,1554294680,71,60.35,102.28,31.01,12.35
16,nicoya,0,CR,1554294658,58,10.15,-85.45,82.4,25.28
17,hithadhoo,100,MV,1554294680,100,-0.6,73.08,84.74,6.31
18,mataura,0,NZ,1554294608,90,-46.19,168.86,45.0,2.73
19,barrow,0,AR,1554294681,80,-38.31,-60.23,56.39,8.66
20,yellowknife,20,CA,1554294586,76,62.45,-114.38,-7.01,8.05
21,devonport,0,AU,1554294650,72,-41.18,146.36,51.01,1.99
22,boyolangu,92,ID,1554294682,92,-8.09,111.9,74.57,2.62
23,atuona,48,PF,1554294682,100,-9.8,-139.03,81.59,14.03
24,mar del plata,32,AR,1554294682,53,-46.43,-67.52,57.11,23.53
25,albany,75,US,1554294575,69,42.65,-73.75,37.0,0.72
26,ribeira grande,75,PT,1554292800,67,38.52,-28.7,59.0,11.41
27,ponta delgada,20,PT,1554294623,62,37.73,-25.67,59.0,18.34
28,east london,0,ZA,1554292800,69,-33.02,27.91,75.2,18.34
29,provideniya,8,RU,1554294683,100,64.42,-173.23,22.82,19.51
30,cape town,0,ZA,1554294645,24,-33.93,18.42,82.0,9.17
31,clyde river,90,CA,1554292920,84,70.47,-68.59,5.0,32.21
32,ca mau,0,VN,1554294521,75,9.18,105.15,84.29,8.66
33,bluff,56,AU,1554294684,50,-23.58,149.07,78.71,16.15
34,puerto ayora,20,EC,1554292800,88,-0.74,-90.35,77.0,5.82
35,busselton,88,AU,1554294607,44,-33.64,115.35,70.0,13.8
36,castro,75,CL,1554292800,100,-42.48,-73.76,46.4,4.7
37,deputatskiy,0,RU,1554294685,56,69.3,139.9,-6.88,2.62
38,kataysk,92,RU,1554294685,77,56.29,62.58,37.67,19.73
39,hovd,0,NO,1554294665,34,63.83,10.7,50.0,12.75
40,alekseyevsk,88,RU,1554294685,69,57.84,108.35,31.37,10.89
41,carutapera,44,BR,1554294686,95,-1.2,-46.02,81.23,2.84
42,cidreira,0,BR,1554294686,79,-30.17,-50.22,78.17,7.87
43,turayf,40,SA,1554292800,32,31.68,38.65,68.0,11.41
44,mountain home,90,US,1554294143,100,43.13,-115.69,45.0,5.82
45,saskylakh,68,RU,1554294686,85,71.97,114.09,24.35,3.62
46,kapaa,75,US,1554294648,68,22.08,-159.32,71.6,11.41
47,luanda,40,AO,1554292800,66,-8.83,13.24,89.6,5.82
48,port hedland,0,AU,1554292800,88,-20.31,118.58,80.6,5.82
49,nizhniy tsasuchey,64,RU,1554294687,61,50.52,115.13,44.87,20.18
50,great yarmouth,75,GB,1554294664,86,52.61,1.73,46.0,3.36
51,verkh-usugli,8,RU,1554294688,58,52.7,115.17,33.44,11.12
52,bethel,1,US,1554292560,92,60.79,-161.76,33.8,8.05
53,khatanga,68,RU,1554294689,83,71.98,102.47,17.33,8.88
54,shelburne,75,CA,1554294662,65,44.08,-80.2,41.0,12.75
55,cambuci,0,BR,1554292800,78,-21.57,-41.91,77.0,2.17
56,vanimo,92,PG,1554294689,97,-2.67,141.3,83.84,15.82
57,raudeberg,0,NO,1554294607,40,61.99,5.14,51.8,4.7
58,punta arenas,40,CL,1554294147,80,-53.16,-70.91,42.8,25.28
59,kurikka,0,FI,1554294631,29,62.62,22.4,52.0,12.75
60,talnakh,88,RU,1554294690,90,69.49,88.39,21.02,6.87
61,kisangani,75,CD,1554292800,56,0.52,25.21,93.2,6.93
62,qaanaaq,24,GL,1554294690,79,77.48,-69.36,-5.53,8.43
63,port alfred,68,ZA,1554294687,85,-33.59,26.89,71.01,8.01
64,fayaoue,88,NC,1554294691,98,-20.65,166.53,81.23,13.24
65,genhe,44,CN,1554294691,74,50.78,121.52,18.77,1.95
66,lebu,44,ET,1554294691,46,8.96,38.73,72.59,0.27
67,hobart,20,AU,1554294679,61,-42.88,147.33,46.4,3.4
68,hermanus,32,ZA,1554294645,48,-34.42,19.24,82.0,5.01
69,beringovskiy,92,RU,1554294692,94,63.05,179.32,28.49,18.72
70,hami,0,CN,1554294692,30,42.84,93.51,67.73,5.64
71,druzhba,0,UA,1554294693,68,49.36,25.65,47.03,16.49
72,torbay,75,CA,1554294666,74,47.66,-52.73,41.0,2.24
73,sabha,0,LY,1554294693,63,27.03,14.43,74.21,5.97
74,ahipara,100,NZ,1554294693,100,-35.17,173.16,60.89,8.66
75,thompson,75,CA,1554292800,77,55.74,-97.86,1.4,5.82
76,nerchinskiy zavod,80,RU,1554294694,58,51.31,119.61,29.84,2.39
77,dingle,8,PH,1554294694,56,11.0,122.67,81.77,11.68
78,narsaq,75,GL,1554292200,73,60.91,-46.05,26.6,13.87
79,naze,75,NG,1554289200,70,5.43,7.07,89.6,5.82
80,belokurikha,68,RU,1554294695,66,52.0,84.99,45.95,8.88
